prompt_text,difficulty
"Sketch a single-line profile of someone sipping their first coffee",very_easy
"Paint two potted plants having a silent conversation",very_easy
"Illustrate a cat lazily orbiting a floating yarn planet",very_easy
"Draw your favorite instrument leaning against an open window",very_easy
"Design a postcard from a city in the clouds",very_easy
"Create a night market aisle lit by paper lanterns",easy
"Illustrate a journal page documenting seashell findings",easy
"Draw a cyclist racing their own motion echo",easy
"Reimagine a fireplace as a glowing library nook",easy
"Paint an underground mushroom network as a subway map",easy
"Design a solar-powered maintenance robot",medium
"Illustrate an ancient tree spirit protecting a forest gate",medium
"Create a minimalist crest for a remote fjord village",medium
"Depict a blacksmith hammering visible sound waves into shape",medium
"Paint a character who trims nebulae like bonsai",medium
"Design the workspace of an archivist who catalogs ocean memories",advanced
"Illustrate a skyline where raindrops are tiny ticking gears",advanced
"Paint birds migrating through a mirror-split sky",advanced
"Create a still life of a tea set brewed with constellations",advanced
"Draw a map documenting fractures between parallel worlds",advanced
